,time,SE1,SE2,SE3,SE4
0,2000-01-01 00:00:00+00:00,248.367512,466.05447699999996,764.836097,437.724342
1,2000-01-01 01:00:00+00:00,238.10426500000003,449.537397,656.174814,427.60704699999997
2,2000-01-01 02:00:00+00:00,228.781771,497.112675,588.8844839999999,386.638395
3,2000-01-01 03:00:00+00:00,218.608491,588.583537,536.230328,365.97047000000003
4,2000-01-01 04:00:00+00:00,187.179221,639.38554,477.09154900000004,360.579635
5,2000-01-01 05:00:00+00:00,178.331932,658.080024,444.330346,361.413642
6,2000-01-01 06:00:00+00:00,173.550617,691.157244,407.432569,451.553741
7,2000-01-01 07:00:00+00:00,166.64518999999999,712.801652,419.465505,618.177897
8,2000-01-01 08:00:00+00:00,170.209444,704.0577079999998,393.62663,789.2420330000001
9,2000-01-01 09:00:00+00:00,167.185108,661.584652,351.40084499999995,904.226233
10,2000-01-01 10:00:00+00:00,124.48137,620.59025,298.575716,1089.193511
11,2000-01-01 11:00:00+00:00,107.626047,598.610052,291.526181,1203.8028769999999
12,2000-01-01 12:00:00+00:00,93.693984,544.5024440000001,360.68262000000004,1147.673011
13,2000-01-01 13:00:00+00:00,78.97419599999998,504.041862,416.771131,1190.254851
14,2000-01-01 14:00:00+00:00,66.53266400000001,437.626233,457.11604500000004,1209.779418
15,2000-01-01 15:00:00+00:00,65.762168,396.603157,430.642385,1250.1966200000004
16,2000-01-01 16:00:00+00:00,74.136799,368.932448,417.597038,1281.472958
17,2000-01-01 17:00:00+00:00,84.390178,322.12870499999997,429.64386399999995,1226.532765
18,2000-01-01 18:00:00+00:00,84.78842999999998,326.776071,473.202621,1228.851175
19,2000-01-01 19:00:00+00:00,78.413883,298.899241,529.8253129999998,1175.229727
20,2000-01-01 20:00:00+00:00,68.274351,242.11359199999998,620.453751,1068.95371
21,2000-01-01 21:00:00+00:00,56.531933,225.718988,666.672731,1013.411676
22,2000-01-01 22:00:00+00:00,49.801272999999995,220.058336,735.013699,940.036244
23,2000-01-01 23:00:00+00:00,46.564564000000004,212.05949,852.6929719999998,863.0292529999999
24,2000-01-02 00:00:00+00:00,36.136513,204.681793,862.699965,781.2909639999999
25,2000-01-02 01:00:00+00:00,30.635627000000003,208.731904,896.127619,768.1505549999999
26,2000-01-02 02:00:00+00:00,25.279215,192.556868,851.959289,798.1627139999999
27,2000-01-02 03:00:00+00:00,22.796707,171.17087700000005,838.325859,800.675429
28,2000-01-02 04:00:00+00:00,22.872454,171.03825899999995,889.32625,746.9508619999998
29,2000-01-02 05:00:00+00:00,19.248904,161.77771900000005,875.9644460000001,704.117013
30,2000-01-02 06:00:00+00:00,17.34114,173.88877100000005,874.0391010000002,645.1605840000002
31,2000-01-02 07:00:00+00:00,15.179801999999999,154.217039,878.066884,607.66375
32,2000-01-02 08:00:00+00:00,18.763004,149.270824,881.4596580000001,527.553208
33,2000-01-02 09:00:00+00:00,21.874517,130.54707000000002,850.6251149999998,464.886376
34,2000-01-02 10:00:00+00:00,21.131035999999998,141.72198999999995,723.941094,432.93001399999997
35,2000-01-02 11:00:00+00:00,21.39509,133.51909099999997,596.29707,404.327809
36,2000-01-02 12:00:00+00:00,22.063948,132.87105400000002,555.0401889999999,420.38680999999997
37,2000-01-02 13:00:00+00:00,24.35415,158.01710200000005,541.683935,402.61911000000003
38,2000-01-02 14:00:00+00:00,28.00185,169.96712599999995,514.205738,373.682692
39,2000-01-02 15:00:00+00:00,35.28388500000001,199.303404,566.6451609999998,390.295376
40,2000-01-02 16:00:00+00:00,44.11245,214.624481,603.224736,435.74767699999995
41,2000-01-02 17:00:00+00:00,45.39,220.019166,601.262648,417.654659
42,2000-01-02 18:00:00+00:00,44.59695,251.654321,539.8380330000001,313.1731660000001
43,2000-01-02 19:00:00+00:00,43.95215,306.99181600000003,480.511182,375.272925
44,2000-01-02 20:00:00+00:00,42.03563,301.5667430000001,455.13745400000005,393.28686
45,2000-01-02 21:00:00+00:00,42.98093,288.0546930000001,391.416338,387.04963399999997
46,2000-01-02 22:00:00+00:00,40.1254,304.606472,365.014618,320.829996
47,2000-01-02 23:00:00+00:00,36.149015999999996,300.222181,331.01276299999995,337.551457
48,2000-01-03 00:00:00+00:00,33.386367,309.292675,318.24937300000005,327.486695
49,2000-01-03 01:00:00+00:00,26.190975,232.45445499999997,375.87106,355.20813599999997
50,2000-01-03 02:00:00+00:00,36.588854,186.334247,380.004283,439.133872
51,2000-01-03 03:00:00+00:00,44.124774,181.757198,409.852791,575.92156
52,2000-01-03 04:00:00+00:00,65.80964900000001,177.71046299999998,454.651671,744.2550349999999
53,2000-01-03 05:00:00+00:00,65.62514499999999,190.791086,516.7999169999999,903.150898
54,2000-01-03 06:00:00+00:00,56.726127000000005,213.121869,597.8801729999999,1038.758616
55,2000-01-03 07:00:00+00:00,54.551177,223.468102,716.7068939999998,1171.9275699999998
56,2000-01-03 08:00:00+00:00,56.02086,245.407651,812.3527260000002,1266.3223799999996
57,2000-01-03 09:00:00+00:00,52.827774,241.08039,913.3469949999999,1306.8794289999998
58,2000-01-03 10:00:00+00:00,65.229905,203.42471,980.220782,1339.390997
59,2000-01-03 11:00:00+00:00,77.91311800000001,155.200958,1044.9593300000001,1353.881816
60,2000-01-03 12:00:00+00:00,86.861306,131.578147,1133.5376789999998,1335.269415
61,2000-01-03 13:00:00+00:00,94.503371,109.917689,1225.843392,1233.710563
62,2000-01-03 14:00:00+00:00,69.722218,96.9095,1287.742562,1044.475367
63,2000-01-03 15:00:00+00:00,65.165359,89.562376,1343.9732849999998,965.03034
64,2000-01-03 16:00:00+00:00,37.94905,71.445918,1381.002297,887.677475
65,2000-01-03 17:00:00+00:00,25.756427,60.949266,1380.605917,767.343471
66,2000-01-03 18:00:00+00:00,14.926936999999999,51.38033400000001,1341.244275,643.4370240000001
